age_min,age_max,time,energy,place,users_count,count,bucket,titles,ids
9,10,30 мин,Хочу просто спокойно пообщаться,Дома,2,13,good_8_plus,"Визуальные дроби: Шарики-наклейки, Рисуем музыку, Игра в магазин: Считаем деньги по купонам, Математические часы: Тренируем умножение, Истории нашего рода, Наука: Невидимые чернила, Геометрия из палочек и пластилина, Монетный конструктор: Считаем деньги с пластилином, Семейное Радио, Считай и сажай морковки, Театр предметов (9–10 лет), Письмо себе из будущего (9-10 лет), Заверши картину: Дорисуй половину","422, 343, 366, 436, 253, 288, 444, 457, 229, 298, 277, 304, 361"
5,6,15 мин,Хочу просто спокойно пообщаться,Дома,1,52,good_8_plus,"Улитка-узор: Составляем цветные последовательности, Магнитный трек: Лабиринты для моторики, Счет-Сортировка: UNO и противень для кексов, Математические купола: Сложи и посчитай, Разверни сокровище: Фольга и конструктор, Кролики-считалки: Сопоставляем числа, Деление на бумаге: Разложи поровну, Маркировка слов: Цветовой код для чтения, Пасхальный счёт: Точки и числа, Съедобное мемори, Веселая арифметика: Жуки-ответы, Наука: Танцующая бумага, Наука: Резиновое яйцо, Яйца-загадки: Математические пластыри, Насекомые-считалки: Цифры и наклейки, Математика на числовой прямой, Слайд-пазл: Цвета в колонке, Часы десятки: Сумма до 10 с прищепками, Магия скотча, Ожившие игрушки, Сломанный телефон, Волшебный мешочек, Я знаю 5…, Что исчезло?, Собери столько, Захват территории, Пальчиковый художник, Фантастическая пятёрка, Бесконечная история, Мне всё льзя!, Рисунок по кругу, Говорим по-разному (5-6 лет), Математика с UNO: Состав числа, Цветное мемори: Стаканчики и помпоны, Звуковая лотерея: Звуки предметов, Где шарик? Учим пространственные предлоги, Цветной Ритм: Запомни последовательность, Цветной маникюр: Колпачки на пальцах, Визуальный сортировщик эмоций, Сортировка сокровищ: Фигурки на стикерах, Картонный конструктор: Гайки и болты, Лента роста: Подарок для близких на расстоянии, Флаги из кубиков: Составь цветной узор, Цветная последовательность: Яйца-половинки, Звуковая арифметика: Сложи ритм, Угадай вкус: Таинственные напитки, Звуковые стаканчики: Собери слово, найди игрушку, Звуковые губки: Угадай звук по артикуляции, Повтори узор на пальцах, Математический сундук с самоцветами, Цветовая Память: Повторяем последовательность, Звуковое мемори: Угадай материал по стуку","417, 549, 561, 362, 427, 428, 370, 429, 430, 377, 432, 285, 289, 369, 451, 388, 393, 398, 186, 187, 207, 208, 294, 218, 220, 297, 224, 225, 227, 228, 234, 266, 484, 490, 496, 504, 534, 532, 551, 557, 559, 560, 563, 575, 581, 375, 360, 373, 344, 350, 486, 528"
3,4,1 час,Хочу просто спокойно пообщаться,Дома,1,0,critical_zero,,
9,10,30 мин,Немного бодрый — готов на лёгкую активность,Дома,1,20,good_8_plus,"Математический клевер: Считаем деньги и числа, Наука: Лава-лампа, Цветные матрицы: Умножение с кубиками, Конструктор из палочек: 3 STEM-задачи, Башни слов: Синонимы и антонимы, Геометрический конструктор: Строим из зубочисток и бобов, Наука: Домашний вулкан, Наука: Радуга в стакане, Наука: Телефон из стаканчиков, Наука: Музыкальные стаканчики, Меняемся ролями (9–10 лет), Башня из Маршмелловок, Математическая матрица: Умножение в лотке для яиц, Что будет если..., Крестики-нолики для взрослых, Галактические крестики-нолики, Наука: Парашют из пакета, Многоразовый маникюр: Раскрась и сотри, Украшения из трубочек: Своя дизайнерская бусина, Рисование ""Фейерверк"" спагетти","414, 284, 418, 467, 363, 440, 283, 286, 290, 291, 273, 399, 404, 274, 299, 302, 293, 435, 445, 494"
7,8,30 мин,Немного бодрый — готов на лёгкую активность,Дома,1,47,good_8_plus,"Гигантское рисование: Арт-буксир, Универсальные точки: Учимся с наклейками, Математический клевер: Считаем деньги и числа, Пять способов рисования: Необычные инструменты, Осенний пуантилизм: Разноцветная кукуруза, Бумажная радуга: Горшочек с золотом, Наука: Лава-лампа, Цветные матрицы: Умножение с кубиками, Геометрические узоры: Рисуем ватными палочками, Конструктор из палочек: 3 STEM-задачи, Математика с UNO: Состав числа, Играем в докторов, Башни слов: Синонимы и антонимы, Лего-Геоборд: Геометрия из резинок, Кодируем лабиринт, Охота за предметами: Сканер-квест, Геометрический конструктор: Строим из зубочисток и бобов, Сумка-валентинка из тарелок, Наука: Домашний вулкан, Наука: Радуга в стакане, Наука: Телефон из стаканчиков, Математическое мороженое: Рисуем по кубику, Наука: Музыкальные стаканчики, Паучок-арифметика, Башня из Маршмелловок, Математическая матрица: Умножение в лотке для яиц, Галерея клякс, Весёлый поезд, Крокодил: Театр эмоций (7–8 лет), Меняемся ролями (7-8 лет), Что будет если..., Крестики-нолики для взрослых, Тактические крестики-нолики, Ловкие шнурки, Семейный арт-код, Наука: Парашют из пакета, Попкорн-деление: Наглядная арифметика, Катапульта из пакета, Пройди по траектории: Лабиринт из верёвки и кубиков, Умножение с UNO и противнем, Лего-Сравнение: Больше, меньше, равно, Многоразовый маникюр: Раскрась и сотри, Украшения из трубочек: Своя дизайнерская бусина, Математическая труба: Сопоставь и наклей, Математическое эскимо: Соедини числа, Рисование ""Фейерверк"" спагетти, Пишем и строим: Визуализация слов","535, 413, 414, 415, 466, 416, 284, 418, 419, 467, 424, 198, 363, 329, 330, 376, 440, 469, 283, 286, 290, 442, 291, 401, 399, 404, 182, 188, 264, 272, 274, 299, 301, 318, 321, 293, 521, 529, 536, 572, 578, 435, 445, 449, 396, 494, 516"
3,4,1 час,Немного бодрый — готов на лёгкую активность,Дома,1,4,ok_4_7,"Гигантский автопортрет: Обведи себя, Рисуем на льду: Холодное творчество, Город из коробок, Интерактивная стена: Многофункциональная площадка","434, 447, 185, 481"
3,4,15 мин,Хочу просто спокойно пообщаться,На улице,1,3,low_1_3,"Ощути природу, Что исчезло?, Собери столько","209, 218, 220"
7,8,30 мин,Хочу просто спокойно пообщаться,Дома,2,35,good_8_plus,"Финансовый конструктор: Считаем монеты, Дорисуй портрет: Мое второе ""я"", Слепой конструктор: Копируем башню по памяти, Визуальные дроби: Шарики-наклейки, Пузырчатая печать: Рисуем бабл-рэпом, Рисуем музыку, Секретный номер: Учим телефон родителя, Пасхальный зайчик: Поделка из отпечатка руки, Игра в магазин: Считаем деньги по купонам, Смешные лица: Книга-перевёртыш, Математические часы: Тренируем умножение, Семейное интервью, Наука: Невидимые чернила, Геометрия из палочек и пластилина, Математические башни из Лего, Монетный конструктор: Считаем деньги с пластилином, Письмо себе из будущего (7-8 лет), Многоразовые часы для обучения, Ароматный амулет, Семейное Радио, Считай и сажай морковки, Театр предметов (7–8 лет), Добрые крестики-нолики, Шаблоны осьминога: Наклейки по цветам, Правописание с контейнерами: Собери слово и упакуй, Светящаяся ванна: Игра с кубиками Glow Pals, Сортировщик-копилка Pringles, Яйца-анаграммы: Собери слово и запиши, Геометрия цвета: Рисование с малярным скотчем, Ушки-суммы: Сложение с прищепками, Заверши картину: Дорисуй половину, Денежный сортировщик: Учим номинал монет, Строим по образцу: Конструктор-копия, Индейка из цветного скотча, Рисуем клевер: 2 способа печати","412, 537, 545, 422, 425, 343, 468, 471, 366, 372, 436, 252, 288, 444, 450, 457, 303, 397, 194, 229, 298, 276, 300, 407, 483, 576, 583, 584, 465, 423, 361, 485, 387, 403, 408"
5,6,30 мин,Хочу просто спокойно пообщаться,Дома,1,37,good_8_plus,"Финансовый конструктор: Считаем монеты, Дорисуй портрет: Мое второе ""я"", Слепой конструктор: Копируем башню по памяти, Визуальные дроби: Шарики-наклейки, Пузырчатая печать: Рисуем бабл-рэпом, Рисуем музыку, Секретный номер: Учим телефон родителя, Пасхальный зайчик: Поделка из отпечатка руки, Игра в магазин: Считаем деньги по купонам, Смешные лица: Книга-перевёртыш, Наука: Невидимые чернила, Геометрия из палочек и пластилина, Математические башни из Лего, Монетный конструктор: Считаем деньги с пластилином, Многоразовые часы для обучения, Сортировщик сокровищ, Ароматный амулет, Семейное Радио, Считай и сажай морковки, Театр предметов (5–6 лет), Добрые крестики-нолики, Шаблоны осьминога: Наклейки по цветам, Съедобный песок: Сенсорная стройка, Кукурузный контур: Аппликация на скотче, Правописание с контейнерами: Собери слово и упакуй, Звуковое мемори: Угадай по шуму, Светящаяся ванна: Игра с кубиками Glow Pals, Сортировщик-копилка Pringles, Яйца-анаграммы: Собери слово и запиши, Геометрия цвета: Рисование с малярным скотчем, Ушки-суммы: Сложение с прищепками, Заверши картину: Дорисуй половину, Денежный сортировщик: Учим номинал монет, Строим по образцу: Конструктор-копия, Индейка из цветного скотча, Лепка с бусинами: Сенсорный сад, Рисуем клевер: 2 способа печати","412, 537, 545, 422, 425, 343, 468, 471, 366, 372, 288, 444, 450, 457, 397, 179, 194, 229, 298, 275, 300, 407, 474, 480, 483, 533, 576, 583, 584, 465, 423, 361, 485, 387, 403, 406, 408"
7,8,15 мин,Немного бодрый — готов на лёгкую активность,Дома,2,54,good_8_plus,"Словарные браслеты: Читай и играй, Удержи шарик, Каравай, Лего-Пинг-Понг: Пересчитай и перебрось, Лего-Геоборд: Геометрия из резинок, Ножки-хваталки: Перенеси Лего, Ритмичная эстафета, Прыжки через ручейки, Домино-арифметика: Сложи и сопоставь, Гусеница по условию: Кубик и цвета, Жмурки ПРО, Наука: Шарик, который сам надувается, UNO-Сортировка: Математика с карточками, Симметрия сложения: Бабочка-десятка, Пазл из коробки: Второе рождение упаковки, Наука: Реактивный шарик, Воздушная проверка: Математика с феном, Смешные скороговорки, Задачки-считалки, Ловля стаканчиков, История по картинкам, Съедобное–несъедобное, Танец отражений (7-8 лет), Эхо эмоций (7-8 лет), Статуя и Скульптор (7-8 лет), Передай энергию (7–10 лет), Мягкие ножки-хваталки: Переносим игрушки, Рикошет: Поймай мяч от стены, Настольный боулинг: Дуем из дудок, Геометрический пылесос: Сортировка трубочкой, UNO-Гонка: Переверни все карты, Эстафета ложкой: Перенеси шарик по стаканчикам, Цветные браслеты: Гонка на повторение узора, Интерактивный Чек-лист: Утренняя Рутина, Лего-Бинго: Цветная гонка, Волшебные конусы: Угадай, где шарик, Слайд-фокус: Угадай, что спрятано (Коробки и стаканы), Реакция по числу: Накрой стаканом, Зеркальная полка: Повтори порядок, Гласный прыжок: Угадай звук!, Ритм по счету: Повтори за мной!, Лего-Сложение: Состав числа 10, Катаем шарики на координацию, Ритм-головоломка: Найди цвет, Формируем буквы и цифры верёвкой, Математические гирлянды: Сложи и наклей, Числовой квест: От цифр к точкам!, Звериные превращения, Настольный тир: Дуй и попадай!, Зернышки-считалочки, Координация Кулак-Ладонь: Ритм фигур, Гонки слов: Трасса на полу, Ныряльщик с нудлом: Толкаем мячи, Трубка-молния: Поймай, пока не упало","357, 197, 196, 574, 329, 374, 331, 334, 433, 437, 282, 287, 443, 446, 448, 292, 386, 176, 345, 346, 178, 233, 255, 258, 261, 270, 495, 499, 503, 506, 513, 518, 538, 539, 541, 550, 564, 568, 571, 356, 359, 438, 337, 380, 394, 400, 351, 352, 353, 354, 475, 479, 502, 519"
7,8,1 час,Немного бодрый — готов на лёгкую активность,На улице,1,3,low_1_3,"Снимаем киношедевр, Сказка по дороге, Камни доброты: Искусство и анонимная щедрость","248, 214, 580"
